author,date,title
"Stephenson, Neal",2008,Anathem
"McDevitt, Jack",2008,Cauldron
"Doctorow, Cory",2008,Little Brother
"Pratchett, Terry",2008,Making Money
Le Guin Ursula K.,2008,Powers
"Stross, Charles",2008,Saturn's Children
"Schwartz, David J.",2008,Superpowers
"Gaiman, Neil",2008,The Graveyard Book
"Scalzi, John",2008,Zoe's Tale
"Priest, Cherie",2009,Boneshaker
"VanderMeer, Jeff",2009,Finch
"Gilman, Laura Anne",2009,Flesh and Fire
"Wilson, Robert Charles",2009,Julian Comstock: A Story of 22nd-Century America
"Valente, Catherynne M.",2009,Palimpsest
"Miéville, China",2009,The City & the City
"Barzak, Christopher",2009,The Love We Share Without Knowing
"Bacigalupi, Paolo",2009,The Windup Girl
"Sawyer, Robert J.",2009,Wake
"Willis, Connie",2010,Blackout/All Clear
"Bujold, Lois McMaster",2010,Cryoburn
"McDevitt, Jack",2010,Echo
"Grant, Mira",2010,Feed
"Kowal, Mary Robinette",2010,Shades of Milk and Honey
"McDonald, Ian",2010,The Dervish House
"Jemisin, N. K.",2010,The Hundred Thousand Kingdoms
"Hobson, M. K.",2010,The Native Star
"Okorafor, Nnedi",2010,Who Fears Death
"Martin, George R. R.",2011,A Dance with Dragons
"Walton, Jo",2011,Among Others
"Grant, Mira",2011,Deadline
"Miéville, China",2011,Embassytown
"McDevitt, Jack",2011,Firebird
"Hurley, Kameron",2011,God's War
"Corey, James S. A.",2011,Leviathan Wakes
"Valentine, Genevieve",2011,Mechanique: a Tale of the Circus Tresaulti
"Jemisin, N. K.",2011,The Kingdom of Gods
"Robinson, Kim Stanley",2012,2312
"Grant, Mira",2012,Blackout
"Bujold, Lois McMaster",2012,Captain Vorpatril's Alliance
"Kowal, Mary Robinette",2012,Glamour in Glass
"Connolly, Tina",2012,Ironskin
"Scalzi, John",2012,Redshirts
"Kiernan, Caitlín R.",2012,The Drowning Girl
"Jemisin, N. K.",2012,The Killing Moon
"Ahmed, Saladin",2012,Throne of the Crescent Moon
"Samatar, Sofia",2013,A Stranger in Olondria
"Leckie, Ann",2013,Ancillary Justice
"Gannon, Charles E.",2013,Fire with Fire
"Griffith, Nicola",2013,Hild
"Stross, Charles",2013,Neptune's Brood
"Grant, Mira",2013,Parasite
"Wecker, Helene",2013,The Golem and the Jinni
"Gaiman, Neil",2013,The Ocean at the End of the Lane
"Nagata, Linda",2013,The Red: First Light
"Jordan, Robert, Sanderson, Brandon",2013,The Wheel of Time
"Correia, Larry",2013,Warbound
"Fowler, Karen Joy",2013,We Are All Completely Beside Ourselves
"Leckie, Ann",2014,Ancillary Sword
"VanderMeer, Jeff",2014,Annihilation
"McDevitt, Jack",2014,Coming Home
"Butcher, Jim",2014,Skin Game
"Anderson, Kevin J.",2014,The Dark Between the Stars
"Addison, Katherine",2014,The Goblin Emperor
"Liu, Cixin, Liu, Ken",2014,The Three-Body Problem
"Gannon, Charles E.",2014,Trial by Fire
"Leckie, Ann",2015,Ancillary Mercy
"Schoen, Lawrence M.",2015,Barsk: The Elephants' Graveyard
"Gannon, Charles E.",2015,Raising Caine
"Stephenson, Neal",2015,Seveneves
"Butcher, Jim",2015,The Cinder Spires: The Aeronaut's Windlass
"Jemisin, N. K.",2015,The Fifth Season
"Liu, Ken",2015,The Grace of Kings
"Wilde, Fran",2015,Updraft
"Novik, Naomi",2015,Uprooted
"Chambers, Becky",2016,A Closed and Common Orbit
"Anders, Charlie Jane",2016,All the Birds in the Sky
"Baker, Mishell",2016,Borderline
"(Chinese)[e], Cixin Liu, (translator)[e], Ken Liu",2016,Death's End
"Shawl, Nisi",2016,Everfair
"Lee, Yoon Ha",2016,Ninefox Gambit
"Jemisin, N. K.",2016,The Obelisk Gate
"Palmer, Ada",2016,Too Like the Lightning
"Donnelly, Lara Elena",2017,Amberlough
"Newitz, Annalee",2017,Autonomous
"Lee, Fonda",2017,Jade City
"Robinson, Kim Stanley",2017,New York 2140
"Leckie, Ann",2017,Provenance
"Lee, Yoon Ha",2017,Raven Stratagem
"Lafferty, Mur",2017,Six Wakes
"Gregory, Daryl",2017,Spoonbenders
"Scalzi, John",2017,The Collapsing Empire
"Jemisin, N. K.",2017,The Stone Sky
"Goss, Theodora",2017,The Strange Case of the Alchemist's Daughter
"Miller, Sam J.",2018,Blackfish City
"Chambers, Becky",2018,Record of a Spaceborn Few
"Lee, Yoon Ha",2018,Revenant Gun
"Valente, Catherynne M.",2018,Space Opera
"Novik, Naomi",2018,Spinning Silver
"Kowal, Mary Robinette",2018,The Calculating Stars
"Kuang, R. F.",2018,The Poppy War
"Roanhorse, Rebecca",2018,Trail of Lightning
"Polk, C. L.",2018,Witchmark
